islam,kristinusko,naturalwords
allah,kaste,terrori
ramadan,Messias,terrorismi
turbaani,katolisuus,väkivalta
emiiri,ylösnousemus,hyökkäys
salaam,kristinusko,kuolema
sunnimuslimi,pelastus,sotilaallinen
Koraani,protestantti,sota
Imam,evankeliumi,radikaali
sulttaani,kolminaisuus,vammat
profeetta,Jeesus,pommi
huntu,Kristus,kohde
ajatollah,kristillinen,konflikti
shiamuslimi,ylittää,vaarallinen
moskeija,katolinen,tappaa
islam,kirkko,murhata
sheikki,,lakko
muslimi,,kuollut
Muhammed,,väkivalta
,,taistella
,,kuolema
,,pakottaa
,,linnake
,,hylky
,,aggressio
,,teurastus
,,suorittaa
,,kaataa
,,tappiot
,,verilöyly
,,kosto
,,nopea lisääntyminen
,,miliisi
,,vihamielisyys
,,jätteet
,,happo
,,suoritus
,,militantti
,,raketti
,,sissi
,,uhrata
,,vihollinen
,,sotilas
,,terroristi
,,ohjus
,,vihamielinen
,,vallankumous
,,vastus
,,ampua
