האיסלאם,הנצרות,מילות טבע
אללה,טבילה,אימה
ראמדאן,משיח,טרור
טורבן,קתוליות,אלימות
אמיר,תחיית המתים,התקפה
סלאם,הנצרות,מוות
סוני,ישועה,צבאי
קוראן,מחאה,מלחמה
אימאם,הבשורה,קיצוני
סולטאן,שילוש,פציעות
נביא,ישו,פצצה
רעלה,כריסטוס,יעד
האייתולה,נוצרי,קונפליקט
שיעי,חוצה,מסוכן
מסגד,קתולי,להרוג
איסלם,כנסייה,רצח
שייח ',,שביתה
מוסלמי,,מת
מוחמד,,אלימות
,,להילחם
,,מוות
,,כוח
,,מעוז
,,הרס
,,תוקפנות
,,שחיטה
,,לבצע
,,להפיל
,,נפגעים
,,טבח
,,נקמה
,,ריבוי
,,מיליציה
,,עוינות
,,פסולת
,,חומצה
,,ביצוע
,,מיליטנטי
,,טיל
,,גרילה
,,הקרבה
,,אויב
,,חייל
,,טרוריסט
,,טיל
,,עוין
,,מהפכה
,,התנגדות
,,לירות
